date, close, open, high, low, volume
Apr 13, 2009, 31.78, 31.50, 32.24, 30.12, 5.52M
Apr 09, 2009, 30.31, 29.27, 31.75, 29.27, 7.05M
Apr 08, 2009, 30.84, 27.59, 31.13, 25.58, 23.11M
Apr 06, 2009, 27.75, 27.56, 30.36, 27.41, 14.42M
Apr 02, 2009, 26.53, 24.84, 27.14, 24.84, 12.71M
Apr 01, 2009, 24.99, 24.94, 25.55, 24.68, 5.23M
Mar 31, 2009, 25.32, 24.81, 25.65, 24.34, 3.18M
Mar 30, 2009, 24.75, 25.12, 26.07, 24.56, 3.68M
Mar 27, 2009, 26.02, 24.58, 26.11, 24.58, 5.62M
Mar 26, 2009, 25.14, 25.65, 26.26, 24.81, 9.90M
Mar 25, 2009, 25.76, 25.30, 26.08, 25.30, 4.28M
Mar 24, 2009, 25.92, 25.56, 26.17, 25.56, 5.63M
Mar 23, 2009, 25.79, 25.12, 26.21, 25.12, 5.49M
Mar 20, 2009, 25.86, 25.33, 26.08, 25.33, 1.70M
Mar 19, 2009, 25.94, 25.30, 26.08, 25.20, 3.64M
Mar 18, 2009, 25.49, 25.55, 26.28, 25.30, 7.71M
Mar 17, 2009, 25.08, 25.33, 26.01, 24.60, 4.46M
Mar 16, 2009, 25.22, 23.58, 25.43, 23.58, 6.48M
Mar 13, 2009, 23.86, 21.61, 24.19, 21.61, 5.99M
Mar 12, 2009, 22.25, 22.77, 23.57, 22.08, 4.92M
Mar 09, 2009, 22.60, 22.57, 23.50, 22.48, 2.04M
Mar 06, 2009, 23.34, 21.88, 23.69, 21.50, 3.52M
Mar 05, 2009, 23.02, 23.64, 23.88, 22.80, 1.92M
Mar 04, 2009, 23.58, 23.69, 23.94, 23.34, 2.65M
Mar 03, 2009, 23.46, 23.57, 24.56, 23.07, 6.39M
Mar 02, 2009, 23.42, 24.31, 24.78, 23.12, 4.12M
Feb 27, 2009, 24.86, 24.37, 25.30, 24.01, 4.17M
Feb 26, 2009, 24.58, 25.06, 25.40, 24.36, 5.60M
Feb 25, 2009, 25.03, 25.09, 26.05, 24.82, 3.87M
Feb 24, 2009, 24.98, 25.80, 25.80, 24.83, 2.28M
Feb 20, 2009, 25.68, 27.16, 27.16, 25.45, 5.78M
Feb 19, 2009, 27.05, 26.79, 27.29, 26.79, 1.97M
Feb 18, 2009, 26.95, 26.59, 27.34, 26.59, 3.17M
