date, close, open, high, low, volume
Jan 08, 2019, 1,049.16, 1,058.64, 1,059.39, 1,046.00, 4.17M
Jan 07, 2019, 1,057.97, 1,061.49, 1,065.30, 1,056.65, 2.69M
Jan 04, 2019, 1,056.37, 1,055.28, 1,061.89, 1,052.83, 3.64M
Jan 03, 2019, 1,053.55, 1,059.74, 1,061.76, 1,049.16, 6.39M
Jan 02, 2019, 1,061.89, 1,069.02, 1,071.37, 1,057.50, 4.07M
Jan 01, 2019, 1,071.66, 1,061.46, 1,073.11, 1,050.46, 3.19M
Dec 31, 2018, 1,058.49, 1,066.13, 1,066.13, 1,056.00, 2.93M
Dec 28, 2018, 1,059.09, 1,056.32, 1,066.50, 1,055.40, 4.71M
Dec 27, 2018, 1,050.19, 1,064.13, 1,066.73, 1,046.89, 5.82M
Dec 26, 2018, 1,058.82, 1,036.19, 1,061.14, 1,032.20, 3.80M
Dec 24, 2018, 1,038.01, 1,049.66, 1,049.66, 1,036.37, 2.80M
Dec 21, 2018, 1,053.23, 1,064.63, 1,072.16, 1,052.18, 5.11M
Dec 20, 2018, 1,066.35, 1,053.93, 1,067.85, 1,048.99, 3.99M
Dec 19, 2018, 1,059.37, 1,064.18, 1,077.30, 1,054.43, 4.50M
Dec 18, 2018, 1,065.35, 1,059.64, 1,067.12, 1,048.97, 3.71M
Dec 17, 2018, 1,062.73, 1,049.66, 1,063.93, 1,047.17, 4.22M
Dec 14, 2018, 1,045.52, 1,050.11, 1,056.65, 1,041.71, 3.08M
Dec 13, 2018, 1,048.32, 1,045.17, 1,060.14, 1,043.33, 3.53M
Dec 12, 2018, 1,040.33, 1,031.18, 1,042.58, 1,027.76, 5.69M
Dec 11, 2018, 1,027.49, 1,025.72, 1,033.35, 1,013.74, 9.45M
Dec 10, 2018, 1,042.06, 1,030.66, 1,050.06, 1,030.66, 5.46M
Dec 07, 2018, 1,051.46, 1,051.01, 1,056.65, 1,037.84, 4.95M
Dec 06, 2018, 1,046.20, 1,042.53, 1,048.49, 1,040.18, 5.87M
Dec 05, 2018, 1,047.27, 1,036.69, 1,050.31, 1,035.67, 5.90M
Dec 04, 2018, 1,040.46, 1,050.36, 1,053.16, 1,036.99, 4.08M
Dec 03, 2018, 1,054.30, 1,063.13, 1,068.62, 1,051.11, 5.40M
Nov 30, 2018, 1,061.86, 1,062.63, 1,066.40, 1,052.66, 6.52M
Nov 29, 2018, 1,063.16, 1,048.17, 1,066.33, 1,044.67, 15.95M
Nov 28, 2018, 1,042.30, 1,030.21, 1,046.97, 1,027.76, 6.51M
Nov 27, 2018, 1,029.71, 1,018.26, 1,031.65, 1,018.11, 6.45M
Nov 26, 2018, 1,022.62, 1,004.71, 1,023.72, 1,003.79, 9.09M
Nov 22, 2018, 1,000.52, 1,004.39, 1,015.24, 997.85, 6.49M
Nov 21, 2018, 1,007.13, 1,004.14, 1,009.73, 999.77, 3.27M
Nov 20, 2018, 1,003.99, 1,004.26, 1,007.56, 997.31, 2.85M
Nov 19, 2018, 1,004.71, 1,003.27, 1,008.26, 998.73, 6.14M
Nov 16, 2018, 999.92, 988.30, 1,004.26, 987.80, 7.91M
Nov 15, 2018, 985.38, 978.77, 986.45, 963.46, 5.20M
Nov 14, 2018, 976.70, 967.12, 977.82, 966.15, 13.06M
Nov 13, 2018, 961.73, 957.37, 966.70, 951.98, 6.68M
Nov 12, 2018, 958.39, 973.58, 978.82, 956.45, 3.95M
Nov 09, 2018, 970.54, 976.93, 977.77, 966.00, 5.05M
Nov 07, 2018, 976.80, 978.32, 980.29, 972.83, 479.38K
Nov 06, 2018, 971.11, 975.33, 985.81, 969.32, 4.24M
Nov 05, 2018, 975.83, 972.78, 977.65, 966.85, 2.85M
Nov 02, 2018, 972.56, 960.86, 977.82, 953.88, 15.05M
Nov 01, 2018, 953.98, 962.86, 962.86, 945.89, 9.81M
Oct 31, 2018, 953.75, 948.91, 956.82, 940.41, 11.72M
Oct 30, 2018, 954.25, 960.36, 963.85, 947.54, 6.91M
Oct 29, 2018, 961.01, 979.87, 980.29, 945.50, 8.52M
Oct 26, 2018, 978.42, 982.21, 986.40, 972.34, 7.58M
Oct 25, 2018, 982.21, 984.61, 999.58, 979.05, 14.92M
Oct 24, 2018, 993.91, 999.77, 1,002.17, 984.11, 9.04M
Oct 23, 2018, 990.22, 984.31, 997.23, 984.31, 9.71M
Oct 22, 2018, 997.23, 1,004.76, 1,007.76, 992.09, 10.17M
Oct 19, 2018, 981.69, 977.27, 988.23, 976.83, 4.93M
Oct 17, 2018, 985.11, 1,000.82, 1,004.26, 979.57, 3.97M
Oct 16, 2018, 994.16, 999.28, 1,006.86, 991.54, 4.70M
Oct 15, 2018, 1,001.80, 992.79, 1,003.17, 982.96, 6.29M
Oct 12, 2018, 988.72, 970.34, 996.33, 968.84, 4.80M
Oct 11, 2018, 966.62, 960.36, 971.99, 956.67, 7.18M
Oct 10, 2018, 981.39, 970.34, 988.92, 965.60, 7.97M
Oct 09, 2018, 968.14, 970.04, 980.32, 962.86, 6.23M
Oct 08, 2018, 970.34, 980.32, 982.31, 962.86, 10.06M
Oct 05, 2018, 980.47, 974.81, 992.79, 967.92, 7.86M
Oct 04, 2018, 976.70, 1,001.77, 1,006.66, 969.34, 8.99M
Oct 03, 2018, 1,013.32, 1,012.97, 1,023.82, 1,001.27, 7.67M
Oct 01, 2018, 1,015.46, 1,002.67, 1,018.73, 996.68, 6.22M
Sep 28, 2018, 1,000.80, 988.13, 1,005.49, 986.38, 7.23M
Sep 27, 2018, 985.88, 982.51, 990.79, 975.40, 9.18M
Sep 26, 2018, 981.91, 979.30, 986.80, 975.48, 7.36M
Sep 25, 2018, 974.03, 960.71, 978.82, 955.37, 8.34M
Sep 24, 2018, 960.71, 981.44, 983.91, 955.37, 6.70M
Sep 21, 2018, 982.94, 984.76, 997.70, 952.98, 11.31M
Sep 19, 2018, 978.50, 995.21, 996.78, 976.08, 8.36M
Sep 18, 2018, 992.39, 995.23, 1,002.69, 988.28, 4.66M
Sep 17, 2018, 993.89, 1,008.41, 1,009.23, 991.79, 4.67M
Sep 14, 2018, 1,012.55, 1,007.68, 1,016.44, 1,007.23, 5.17M
Sep 12, 2018, 1,003.69, 998.73, 1,008.43, 992.57, 6.12M
