date, close, open, high, low, volume
Apr 09, 2019, 1,259.55, 1,242.00, 1,263.00, 1,226.10, 452.31K
Apr 08, 2019, 1,237.10, 1,249.00, 1,257.40, 1,230.55, 479.35K
Apr 05, 2019, 1,245.00, 1,268.00, 1,275.00, 1,236.05, 469.36K
Apr 04, 2019, 1,256.25, 1,262.95, 1,269.00, 1,249.05, 236.65K
Apr 03, 2019, 1,259.75, 1,259.00, 1,276.70, 1,255.25, 336.31K
Apr 02, 2019, 1,255.30, 1,269.00, 1,284.00, 1,248.65, 638.28K
Apr 01, 2019, 1,269.50, 1,231.00, 1,278.80, 1,226.50, 1.00M
Mar 29, 2019, 1,227.60, 1,195.40, 1,253.35, 1,188.95, 1.78M
Mar 28, 2019, 1,182.95, 1,154.00, 1,188.00, 1,154.00, 693.13K
Mar 27, 2019, 1,153.75, 1,163.00, 1,178.10, 1,150.05, 486.19K
Mar 26, 2019, 1,151.90, 1,146.00, 1,160.00, 1,138.95, 434.28K
Mar 25, 2019, 1,147.05, 1,149.00, 1,160.85, 1,134.45, 467.83K
Mar 22, 2019, 1,150.60, 1,173.25, 1,182.15, 1,144.00, 754.34K
Mar 20, 2019, 1,166.00, 1,147.70, 1,180.10, 1,135.00, 1.27M
Mar 19, 2019, 1,139.90, 1,121.85, 1,144.95, 1,121.85, 398.91K
Mar 18, 2019, 1,119.65, 1,126.40, 1,139.90, 1,115.00, 353.49K
Mar 15, 2019, 1,124.15, 1,138.00, 1,152.90, 1,110.00, 731.22K
Mar 14, 2019, 1,131.95, 1,123.00, 1,143.40, 1,116.10, 717.23K
Mar 13, 2019, 1,117.60, 1,160.00, 1,166.05, 1,092.00, 1.80M
Mar 12, 2019, 1,157.25, 1,211.90, 1,211.90, 1,132.70, 1.37M
Mar 11, 2019, 1,204.05, 1,172.50, 1,211.80, 1,172.50, 938.55K
Mar 08, 2019, 1,171.90, 1,186.00, 1,188.45, 1,167.00, 268.17K
Mar 07, 2019, 1,186.95, 1,195.35, 1,202.00, 1,179.30, 642.86K
Mar 06, 2019, 1,192.75, 1,186.90, 1,212.85, 1,183.50, 1.68M
Mar 05, 2019, 1,191.90, 1,159.80, 1,195.00, 1,146.80, 564.05K
Mar 01, 2019, 1,151.85, 1,140.10, 1,165.85, 1,140.00, 904.32K
Feb 28, 2019, 1,140.90, 1,155.05, 1,160.00, 1,137.00, 695.59K
Feb 27, 2019, 1,149.30, 1,166.00, 1,179.90, 1,140.70, 1.04M
Feb 26, 2019, 1,157.35, 1,175.60, 1,177.05, 1,148.00, 1.07M
Feb 25, 2019, 1,187.45, 1,145.90, 1,198.00, 1,131.40, 1.37M
Feb 22, 2019, 1,146.20, 1,145.00, 1,155.50, 1,139.60, 511.05K
Feb 21, 2019, 1,152.20, 1,135.00, 1,158.00, 1,127.00, 1.31M
Feb 20, 2019, 1,129.60, 1,127.00, 1,143.40, 1,120.00, 1.19M
Feb 19, 2019, 1,116.40, 1,125.00, 1,146.70, 1,112.10, 969.99K
Feb 18, 2019, 1,116.85, 1,143.00, 1,149.15, 1,083.10, 1.32M
Feb 15, 2019, 1,142.80, 1,142.10, 1,152.10, 1,130.00, 386.45K
Feb 14, 2019, 1,152.35, 1,155.50, 1,169.95, 1,126.85, 708.08K
Feb 13, 2019, 1,149.80, 1,154.00, 1,164.65, 1,135.35, 989.56K
Feb 12, 2019, 1,132.25, 1,133.00, 1,189.90, 1,101.10, 4.73M
Feb 11, 2019, 1,121.90, 1,300.00, 1,300.00, 1,090.00, 5.42M
Feb 08, 2019, 1,257.85, 1,298.50, 1,298.50, 1,252.10, 581.29K
Feb 07, 2019, 1,295.85, 1,304.05, 1,319.00, 1,290.10, 305.10K
Feb 06, 2019, 1,304.05, 1,298.00, 1,315.00, 1,287.90, 410.85K
Feb 05, 2019, 1,290.85, 1,300.00, 1,309.80, 1,282.00, 423.34K
Feb 04, 2019, 1,296.75, 1,335.00, 1,336.90, 1,278.50, 548.17K
Feb 01, 2019, 1,341.25, 1,320.00, 1,357.90, 1,320.00, 530.79K
Jan 31, 2019, 1,325.65, 1,315.00, 1,334.00, 1,313.35, 471.66K
Jan 30, 2019, 1,319.60, 1,299.00, 1,323.00, 1,297.50, 315.86K
Jan 29, 2019, 1,299.65, 1,259.00, 1,306.75, 1,254.00, 463.12K
Jan 28, 2019, 1,265.80, 1,287.00, 1,302.10, 1,262.65, 254.67K
Jan 25, 2019, 1,292.30, 1,321.20, 1,331.90, 1,280.85, 571.33K
Jan 24, 2019, 1,314.65, 1,310.00, 1,339.75, 1,294.20, 831.26K
Jan 23, 2019, 1,293.85, 1,296.90, 1,317.00, 1,284.05, 671.26K
Jan 22, 2019, 1,293.80, 1,316.10, 1,323.00, 1,288.50, 1.10M
Jan 21, 2019, 1,326.05, 1,366.30, 1,387.25, 1,315.55, 1.29M
